country,year,gdp_usd
United States,2019,21433226000000
United States,2020,20936600000000
United States,2021,22939000000000
United States,2022,25462000000000
United States,2023,26900000000000
China,2019,14279937400000
China,2020,14722731000000
China,2021,17734000000000
China,2022,17963000000000
China,2023,17900000000000
Japan,2019,5081770000000
Japan,2020,5064870000000
Japan,2021,4937000000000
Japan,2022,4230000000000
Japan,2023,4200000000000
Germany,2019,3861120000000
Germany,2020,3806060000000
Germany,2021,4223110000000
Germany,2022,4070000000000
Germany,2023,4100000000000
India,2019,2875140000000
India,2020,2668940000000
India,2021,3176310000000
India,2022,3390000000000
India,2023,3760000000000
United Kingdom,2019,2825200000000
United Kingdom,2020,2707740000000
United Kingdom,2021,3176000000000
United Kingdom,2022,3130000000000
United Kingdom,2023,3300000000000
France,2019,2715518000000
France,2020,2602610000000
France,2021,2930000000000
France,2022,2900000000000
France,2023,3000000000000
